Nome do Jogador	ID do Jogador	URL
Praxedes	397505	https://br.whoscored.com/players/397505/show/praxedes
Zé Gabriel	378588	https://br.whoscored.com/players/378588/show/z%C3%A9-gabriel
Robert Rojas	369266	https://br.whoscored.com/players/369266/show/robert-rojas
Gary Medel	29390	https://br.whoscored.com/players/29390/show/gary-medel
Maxime Dominguez	486855	https://br.whoscored.com/players/486855/show/maxime-dominguez
Paulinho Paula	383997	https://br.whoscored.com/players/383997/show/paulinho-paula
Erick Marcus	468025	https://br.whoscored.com/players/468025/show/erick-marcus
Bruno Lopes	515817	https://br.whoscored.com/players/515817/show/bruno-lopes
Jean Meneses	417742	https://br.whoscored.com/players/417742/show/jean-meneses
Maxsuell Alegria	544692	https://br.whoscored.com/players/544692/show/maxsuell-alegria
Clayton	436559	https://br.whoscored.com/players/436559/show/clayton
Serginho	423092	https://br.whoscored.com/players/423092/show/serginho
Souza	40989	https://br.whoscored.com/players/40989/show/souza
Hulk	16886	https://br.whoscored.com/players/16886/show/hulk
Rubens	407747	https://br.whoscored.com/players/407747/show/rubens
Júnior Alonso	202096	https://br.whoscored.com/players/202096/show/j%C3%BAnior-alonso
Gustavo Scarpa	149738	https://br.whoscored.com/players/149738/show/gustavo-scarpa
Guilherme Arana	241822	https://br.whoscored.com/players/241822/show/guilherme-arana
Paulinho	339845	https://br.whoscored.com/players/339845/show/paulinho
Jemerson	130435	https://br.whoscored.com/players/130435/show/jemerson
Matheus Mendes	397566	https://br.whoscored.com/players/397566/show/matheus-mendes
Otávio	146764	https://br.whoscored.com/players/146764/show/ot%C3%A1vio
Renzo Saravia	127618	https://br.whoscored.com/players/127618/show/renzo-saravia
Eduardo Vargas	35237	https://br.whoscored.com/players/35237/show/eduardo-vargas
Bruno Fuchs	379229	https://br.whoscored.com/players/379229/show/bruno-fuchs
Cadu	438312	https://br.whoscored.com/players/438312/show/cadu
Everson	355663	https://br.whoscored.com/players/355663/show/everson
Alan Franco	334972	https://br.whoscored.com/players/334972/show/alan-franco
Rodrigo Battaglia	134739	https://br.whoscored.com/players/134739/show/rodrigo-battaglia
Alisson	475166	https://br.whoscored.com/players/475166/show/alisson
Brahian Palacios	445346	https://br.whoscored.com/players/445346/show/brahian-palacios
Igor Rabello	246393	https://br.whoscored.com/players/246393/show/igor-rabello
Rômulo	429544	https://br.whoscored.com/players/429544/show/r%C3%B4mulo
Matías Zaracho	332151	https://br.whoscored.com/players/332151/show/mat%C3%ADas-zaracho
Deyverson	135641	https://br.whoscored.com/players/135641/show/deyverson
Igor Gomes	349214	https://br.whoscored.com/players/349214/show/igor-gomes
Gabriel Delfim	445265	https://br.whoscored.com/players/445265/show/gabriel-delfim
Bernard	101642	https://br.whoscored.com/players/101642/show/bernard
Mariano	40771	https://br.whoscored.com/players/40771/show/mariano
Lyanco	284115	https://br.whoscored.com/players/284115/show/lyanco
Mauricio Lemos	287049	https://br.whoscored.com/players/287049/show/mauricio-lemos
Pedrinho	337813	https://br.whoscored.com/players/337813/show/pedrinho
Paulo Vitor	479726	https://br.whoscored.com/players/479726/show/paulo-vitor
Robert Santos	523260	https://br.whoscored.com/players/523260/show/robert-santos
Alan Kardec	29194	https://br.whoscored.com/players/29194/show/alan-kardec
Caio Maia	475167	https://br.whoscored.com/players/475167/show/caio-maia
Isaac	475168	https://br.whoscored.com/players/475168/show/isaac
